기준연월,지역명,방문자 수,숙박방문자 수,신용카드 소비액(천원),식음료업(천원),쇼핑업(천원),숙박업(천원),여가서비스업(천원),운송업(천원),여행업(천원),무박,1박,2박,3박이상,평균 체류시간(분),동행자유형언급(기타가족),동행자유형언급(친구),동행자유형언급(부모님),동행자유형언급(회사동료),동행자유형언급(싱글),동행자유형언급(자녀),동행자유형언급(연인),동행자유형언급(배우자),동행자유형언급(학생),SNS 검색량(건),목적지 유형 검색량(숙박),목적지 유형 검색량(음식),목적지 유형 검색량(기타관광),목적지 유형 검색량(쇼핑),목적지 유형 검색량(자연관광),목적지 유형 검색량(문화관광),목적지 유형 검색량(역사관광),목적지 유형 검색량(체험관광),목적지 유형 검색량(레저스포츠),여행유형/트렌드별 검색량(레포츠),여행유형/트렌드별 검색량(휴식/힐링),여행유형/트렌드별 검색량(체험),여행유형/트렌드별 검색량(미식),여행유형/트렌드별 검색량(기타)
2022년06월,강원도 강릉시 ,2984764,609740,20092369,13291753,2668998,2564147,1526171,40581,719,2378975,462587,107497,39655,306,15524,9858,12737,3783,6377,4238,3008,2932,1143,77218,134708,277124,7815,79663,93419,64365,17893,3275,10919,7418,6513,794,840,2053
2022년07월,강원도 강릉시 ,3545681,765617,23084600,15239873,3383464,2781968,1630008,49027,260,2783243,543834,161161,60622,347,19243,11529,12087,4986,5347,5727,3336,3470,1577,85914,168196,327089,8762,91015,114342,57299,18296,4091,13798,8243,7055,601,940,1773
2022년08월,강원도 강릉시 ,4023155,859461,27589856,18891514,3939447,2845135,1861247,50015,2499,3166164,605636,188789,65035,335,24191,12460,10963,5576,5015,6198,4429,4191,1870,96833,202206,420107,11355,110150,148263,77586,24378,6603,18155,9942,8028,774,1201,1995
2022년09월,강원도 강릉시 ,2888889,602532,17275802,11131582,2625629,2189425,1300961,28205,0,2372596,431991,116804,53737,331,17673,8902,7850,4221,3412,4274,3443,2891,1139,69814,109919,210278,9596,41203,62659,79316,15349,4764,10818,6562,6501,652,914,1380
2022년10월,강원도 강릉시 ,3315756,614054,20055516,13234832,2970462,2396583,1402365,51144,130,2707143,465973,99477,48604,292,15660,8358,7213,4095,3272,4450,2741,3115,1089,65205,126010,254971,33726,53795,75582,98368,20329,5027,12630,6329,6196,592,777,1318
2022년11월,강원도 강릉시 ,2599317,488851,15422030,9922062,2509493,1766132,1184830,37704,1810,2113422,368223,77209,43418,306,12631,6773,5951,3226,2804,3713,2324,2681,849,52687,91996,182717,23452,37678,57735,63422,13191,3367,9270,4640,4884,444,690,1077
2022년12월,강원도 강릉시 ,2526100,567956,17171794,11232731,2759730,2077162,1076436,25734,0,1961542,444471,87902,35583,327,14327,7649,6512,4033,3154,3888,3081,2761,942,59172,112746,231639,25075,44307,70965,65454,11877,3173,8920,4886,5313,454,765,1407
2023년01월,강원도 강릉시 ,2874525,566375,16282252,11084027,2310364,2022737,858675,6414,35,2310290,409284,102869,54222,326,17026,8550,7509,4122,3504,4454,3268,3001,1243,66573,98092,222555,25308,42965,68234,70631,13030,2760,5891,5846,5391,439,772,1448
2023년02월,강원도 강릉시 ,2717060,568160,16589941,11508605,2071281,2048254,944561,14763,2476,2150111,427705,86135,54320,341,16158,9176,7409,4285,3414,4326,3275,2967,1216,65807,109231,239404,24290,45663,69406,72617,14000,3494,7237,5682,5327,357,838,1377
2023년03월,강원도 강릉시 ,2997599,508458,15475446,10105270,2554886,1677048,1110758,24237,3248,2491058,372800,74837,60820,301,16469,9978,7233,4874,3424,4302,3849,3274,1259,69759,84405,192351,23334,33712,56698,69811,15143,2847,8335,5700,6538,441,784,1634
2023년04월,강원도 강릉시 ,2637827,501641,16280853,10884333,2510801,1798630,1034032,51958,1100,2142129,389326,75796,36520,292,16849,9779,6936,7941,3155,4564,3435,3423,1034,71278,98057,206172,29404,40599,59795,73326,19143,1071,12256,5564,6195,395,715,1293
2023년05월,강원도 강릉시 ,2783903,549090,17700416,11609787,2687967,2250078,1112769,38634,1180,2239480,412441,95927,40722,300,18330,10595,8394,6446,3488,5166,4055,3425,1228,79498,104472,213352,30608,41758,64516,73825,15503,629,11924,7634,7174,685,810,2068
